alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage
alpha001,862,-0.005913912080130777,0.13804043421797646,-0.04284188262398723,-0.2060799736460055,-0.007849400124295483,-0.511343833226152,-0.01186581843860161,-0.7738905134847436,0.5385247486465584,0.9983125922801096
alpha002,876,-0.07104393159702202,0.12770252880761312,-0.5563236081569801,-0.28240840655812904,-0.008827357942712864,-0.6292360032702955,-0.005196610020910197,-0.3756959053435347,0.3758561643835616,1.0
alpha003,874,0.05195284877539031,0.14208297676302778,0.365651466199498,-0.2034688247540971,0.007099161606980839,0.5006817699398748,0.0075482786411475294,0.5708519793149368,0.2713100686498856,1.0
alpha004,875,0.019518979786095236,0.15367908246471076,0.1270112983045521,-0.232369931144074,0.0033954710093541287,0.21857546665131566,0.011582214679103014,0.7789769259005672,0.28514285714285714,1.0
alpha005,874,0.10877746565301373,0.143971781697057,0.755547124379564,-0.1684205243675284,0.01666396086022403,1.0389364631480185,0.011937403944548446,0.7829434459351869,0.551058352402746,1.0
alpha006,874,-0.082693212264576,0.14498856685320746,-0.570342986756315,-0.3855894113500441,-0.0003361143619063594,-0.021835612735963024,0.006526455337518912,0.43106687380723163,0.31750572082379863,1.0
alpha007,859,0.03252007860650651,0.13297722816345925,0.24455374093474072,-0.22388777321194087,0.0007981016131150277,0.05107067020792682,0.006532175149689141,0.45195887943854124,0.4645906092355452,0.9847602920944015
alpha008,868,0.08087758413634985,0.1564334749290057,0.517009445536223,-0.11556877596290471,0.006923328859776646,0.44848124572318687,0.017128233417554196,1.1082245127687027,0.347926267281106,1.0
alpha009,878,0.07928487112387081,0.15701733772957838,0.5049434175251298,-0.27942494597824585,0.008300318518877248,0.5218004875885025,0.004767312004711059,0.310908220356168,0.7444476082004556,1.0
alpha010,879,0.03722502402627832,0.15363695848289094,0.24229211769005254,-0.30938695773948777,-0.0005947707389406996,-0.0386838684442567,-0.0020786833622392386,-0.13796421268730497,0.7401877133105802,1.0
alpha011,880,0.0505125236442895,0.15170742574669502,0.33296012634628686,-0.1534248443931232,0.004774869053080667,0.3051410480141783,0.006497828039505875,0.4294731223927971,0.6130681818181818,1.0
alpha012,882,-0.06034698567777737,0.14834498440821306,-0.40680165843501404,-0.2999007225812138,-0.008632723277196823,-0.5472038479408871,0.0017036025613795533,0.11210132019814169,0.7141439909297053,1.0
alpha013,879,0.12639268705511525,0.14239477160113895,0.8876216846581486,-0.15264746165512788,0.012519909214063948,0.8860592549251481,0.010941977164868251,0.794252764506864,0.3892207053469852,1.0
alpha014,874,-0.019412557215283222,0.14111465408031074,-0.13756584914444964,-0.18515182867587687,-0.0019180695171228952,-0.12511858040025517,0.006659542825098493,0.44817614232016684,0.4965675057208238,1.0
alpha015,879,-0.026536385068637876,0.14986796315914327,-0.17706509456233258,-0.3943568317260414,-0.00030581348893956206,-0.02021974979486113,0.0027563757638221545,0.19058649980435002,0.3152730375426621,1.0
alpha016,879,0.08526450221742185,0.14750416411475376,0.5780481027714489,-0.10535604259366649,0.0028170392848861775,0.198051472050799,0.007026810487623173,0.5064110786611732,0.38993174061433444,1.0
alpha017,860,-0.0752945327522149,0.15543679181763928,-0.48440611692855545,-0.4614828467990286,0.0014531039371381911,0.08990264217638201,-0.007766216219314019,-0.5131241308683212,0.8061046511627907,1.0
alpha018,874,-0.0029870415089963856,0.1427929872499688,-0.020918684919500753,-0.2792084247438086,0.004454905760188802,0.29302957376477723,0.005221422692321109,0.34638285423230847,0.6929347826086957,1.0
alpha019,633,-0.0178579212610899,0.17920701437635592,-0.09964967790594488,-0.20205004094899848,0.00850925391806673,0.5241146271038615,0.013086919948654957,0.7516732154397144,0.31437598736176936,1.0
alpha020,882,0.12333682444923853,0.1531043904751806,0.8055734003867929,-0.14799552250081738,0.013859646996604453,0.8417332151464244,0.013241462203901357,0.7940057345337539,0.7912414965986394,1.0
alpha021,875,0.13228438829880954,0.13681979606047123,0.9668512313842573,-0.1777108723253814,0.00834080631828835,0.5576407813324475,0.013425389325584737,0.8945417682118214,0.4188095238095238,0.9933506493506494
alpha022,864,0.07413624245591267,0.13850967146367515,0.5352423529165274,-0.16368763191289515,0.0023441179840655003,0.16018901387863094,0.0076489533011272134,0.5317576117931565,0.46166087962962965,1.0
alpha023,864,0.13526920479679225,0.14528235925766952,0.9310779745590576,-0.14499031139010432,0.0028012516120355466,0.16680941112987907,0.01815436541295798,1.141916487800868,0.5149016203703703,1.0
alpha024,684,0.15258110765496274,0.15544912968938784,0.9815500926884837,-0.18164622531282992,0.017237692869849636,1.0747364323163173,0.024042768296215416,1.479279919817616,0.3121345029239766,1.0
alpha025,864,0.006329034137334455,0.1615790096545276,0.03916990301442357,-0.332548815151979,-0.00002058850401678241,-0.0012392249769085642,0.00516599592836835,0.3165429891563671,0.7403067129629629,1.0
alpha026,873,0.006543944359973266,0.13997425423275522,0.04675105715578033,-0.2103157680064146,0.007662613532942601,0.5321202308032165,0.015188110367364978,1.0303079123302086,0.3077033218785796,1.0
alpha027,877,0.031551654716759935,0.1270410241597676,0.24835800030296024,-0.1930263279154225,-0.0004809320201410321,-0.03340666213234564,0.0022532504548936037,0.1576571380053789,0.3120011402508552,1.0
alpha028,860,0.04352316398487342,0.14969001061796558,0.29075530027151886,-0.277035848829865,0.0037498799985490228,0.2393415537321214,0.004685304584192349,0.30319155056392966,0.7152616279069768,1.0
alpha029,872,0.04010458023253894,0.15211830520813094,0.2636407247481962,-0.22091862110591842,0.01764843712727412,1.129581773092475,0.02005670491539975,1.288667136858496,0.5893061926605505,1.0
alpha030,864,0.047283976735358266,0.1423508272521144,0.33216509976169417,-0.1916116970852184,0.0041641058158288155,0.26607027440340064,0.005162912771608425,0.34337294572549326,0.46513310185185186,1.0
alpha031,853,0.031080178997864687,0.1349800056706296,0.23025765070498475,-0.19736281689875068,0.003197996662794851,0.22290430686494,0.0006074671047280131,0.041192922316612625,0.3456916764361079,1.0
alpha032,649,0.024352488296475943,0.14983909590815958,0.1625242607670447,-0.30731972247607564,0.009310361384285553,0.5658205794098806,0.015785045663788883,1.0077926987406756,0.2796610169491525,1.0
alpha033,883,-0.055534802178371194,0.1702126678058343,-0.32626715093685676,-0.2833786842843079,0.00215706135285797,0.12535896629886495,0.007542558382087659,0.4488694448378328,0.7841166477916195,1.0
alpha034,878,0.05340820195534384,0.14440722349264953,0.36984439326237983,-0.22864234723340726,0.004752596319161746,0.3177456165264088,0.006863480363809144,0.4516543860046118,0.791998861047836,1.0
alpha035,851,0.016940712459448573,0.1434475458459316,0.1180969138199379,-0.22586952252159131,-0.0035271369727458094,-0.22718245312564353,0.0029506862306533065,0.18669484162901384,0.6145710928319624,1.0
alpha036,684,-0.015704283175738243,0.14763694872928163,-0.10637095463504069,-0.2230345789255198,0.007534033860623735,0.508761120549876,0.0035126259607971204,0.2340833314701323,0.5239400584795322,1.0
alpha037,683,-0.001239592697566831,0.16561674684424701,-0.007484706234041635,-0.2793051367434317,0.001038319999829905,0.06625543511887329,0.00302560162523727,0.18945949366862697,0.5825402635431918,1.0
alpha038,874,-0.04046373186677984,0.1555316656176838,-0.26016394607542315,-0.36765060049902476,0.008814717990267458,0.5387783352326506,0.009808719853836459,0.6141096946430897,0.6819221967963387,1.0
alpha039,633,0.049345965130998704,0.14823199356714709,0.33289685946674974,-0.13157426462533828,0.010908187864946416,0.6808091672872777,0.01606602393800233,0.9894357873824265,0.3453791469194313,1.0
alpha040,874,0.017234980855348192,0.1599477262044173,0.10775383473298923,-0.26294304231537824,0.005110199850754443,0.31014096585764434,0.012656232435358888,0.8110505156091324,0.26744851258581237,1.0
alpha041,883,0.027460118694763353,0.14575292388832012,0.18840183759060675,-0.18820938398881737,0.0036962984682769205,0.23635363706933596,0.002279713491491521,0.14829038867016048,0.7420724801812004,1.0
alpha042,883,0.1470773969503984,0.14675631833704408,1.0021878350247035,-0.11983416309907635,0.011684507252177252,0.7118547653403726,0.01014901581322196,0.6761164941199823,0.47409399773499433,1.0
alpha043,845,0.17459376950041416,0.13831792746005311,1.262264210478701,-0.10867266980353874,0.00003816555753850852,0.0024446679137920648,0.01863552195034346,1.2253657600091898,0.5788461538461539,1.0
alpha044,879,0.011963460511564022,0.14459853250095248,0.0827356979676486,-0.22319291248608808,0.004833193373186603,0.33639821797440045,0.012971919851531384,0.916705335308506,0.4694254835039818,1.0
alpha045,859,0.0023487971371038653,0.12689496778520662,0.01850977369787935,-0.2177960359518638,-0.007230913022698375,-0.5241356760643858,-0.0005616148917269293,-0.03904013650211419,0.6744761350407451,1.0
alpha046,863,0.03409260699515807,0.14158887076400825,0.2407859234359003,-0.27058013353699384,0.0038839059041087154,0.2594818840140674,0.0009342079046878136,0.06349439435001689,0.3732618771726535,1.0
alpha047,864,0.15672772208901042,0.15664972850505887,1.0004978852162456,-0.14571634900437014,0.018043524118633,1.0670391346462824,0.01925439697178828,1.1689381096597746,0.4480613425925926,1.0
alpha048,632,-0.07506712996708685,0.11786916757095622,-0.6368682456495427,-0.2590058013160813,-0.0038480354948168638,-0.30523257867368975,-0.0028461352992500567,-0.21095158929650348,0.6776107594936709,1.0
alpha049,863,0.05232408537449466,0.1545915436462803,0.33846667249935086,-0.20993488659451442,0.011439956252466556,0.7229330872756994,0.00808083814203231,0.5453792487855565,0.6607763615295481,1.0
alpha050,875,0.05754668674108523,0.14595065209496774,0.39428865794748574,-0.23846664189695177,0.005987534979183434,0.42486710450960496,0.01740912762718402,1.262499194487113,0.19528571428571428,1.0
alpha051,863,0.05358532385389334,0.15451123658875138,0.3468053523933445,-0.1924696117001311,0.011257227367274563,0.7077452626514396,0.0066645300382182655,0.4481668664630191,0.6530996523754345,1.0
alpha052,643,0.09014929406458246,0.16882682244303251,0.5339749499520533,-0.15477464859210277,0.01069750870333551,0.5899971130806562,0.021296101964166064,1.2164993579178611,0.3427293934681182,1.0
alpha053,874,0.08947541479931456,0.1402900231343209,0.6377888662378093,-0.19494214816322597,0.014741156284270335,1.0146310513202732,0.01304096544397326,0.8834772933425225,0.8047768878718535,0.9964114832535885
alpha054,883,0.028293596939002325,0.14164583349242024,0.19974888241606042,-0.2584548018034638,0.0008214738464724275,0.055440926892441525,0.0011301501276973272,0.07491031372209869,0.8003963759909399,1.0
alpha055,867,-0.1937678009341891,0.14351317294626656,-1.3501743216752558,-0.5119144701090462,-0.01722589008291095,-1.2225439506091493,-0.006678192494197963,-0.47084495515481284,0.404123414071511,1.0
alpha056,873,-0.009695837747554503,0.13436041179195102,-0.07216290586075252,-0.31284311209829474,0.007554075351959244,0.5136518950103913,0.0035771688280237294,0.23404742368406162,0.7468499427262314,0.9832864729771946
alpha057,853,0.04048153368011972,0.14587568077445917,0.2775070763351493,-0.23378235615402798,-0.00717643573967198,-0.45427549997646455,-0.0013801886986045178,-0.08906255906221526,0.7325615474794842,1.0
alpha058,871,-0.04045596584856011,0.1411535404497483,-0.2866096430855217,-0.23273106060013726,-0.007276196853317721,-0.5114316848939976,0.0035799259640071114,0.25489468246957564,0.4906716417910448,1.0
alpha059,858,-0.008799531276552244,0.13371740361587003,-0.06580692593935385,-0.2160518905258353,0.005494296775289301,0.4116508179752156,0.012224937325547611,0.9181622834755282,0.3557692307692308,1.0
alpha060,874,-0.03799852653869314,0.1468007713163324,-0.25884418860996544,-0.2280025046086479,-0.0014479842978305634,-0.09258028544528743,-0.0007285087814187091,-0.04643718813445535,0.7336956521739131,1.0
alpha061,688,-0.022900473938014816,0.13433768367879206,-0.1704694714907469,-0.22225095642250536,0.0036606096490186947,0.2610670190767505,0.00557621498674086,0.3898900874386428,0.18695494186046513,1.0
alpha062,835,-0.013858276391320121,0.1259356321767225,-0.11004253642744359,-0.2971903681738045,-0.0012409727434383611,-0.08932930173553372,-0.005776776284290232,-0.41510534099903235,0.2311377245508982,1.0
alpha063,645,-0.04280404039408102,0.13883085325107153,-0.30831792351424336,-0.23924740916300624,-0.0009179704476448336,-0.06642954132324337,-0.006110595246547595,-0.444178925289187,0.24321705426356588,1.0
alpha064,738,-0.08228788500562959,0.13333015366760964,-0.6171738555913783,-0.30972628680880243,-0.003862579875648446,-0.2632286775102604,-0.0016524790997644592,-0.1113813139492721,0.255420054200542,1.0
alpha065,812,-0.024814860674283536,0.1301757077390961,-0.1906258940724838,-0.20518102986149034,0.0010097059785914519,0.07196608246038862,0.002511307634855712,0.1748455603753156,0.2732450738916256,1.0
alpha066,868,0.008817375741111109,0.14053375119670927,0.06274205068908441,-0.21295412918005785,0.008385891047408967,0.5681261372360098,0.014398574294390277,0.9663216921019618,0.378168202764977,0.9908357771260996
alpha067,859,0.14635219511675668,0.1442967893284207,1.014244293292333,-0.09530435444417318,0.012299480490050753,0.825860253401063,0.02108153038767882,1.430901911372991,0.6628346915017462,1.0
alpha068,850,0.07377776255834512,0.13204883271709458,0.558715749622784,-0.2482973003348451,0.00046943926643948185,0.03354770849070444,0.00610038804140302,0.42641734249094754,0.48720588235294116,1.0
alpha069,853,0.06183529021102142,0.1391305026177229,0.44444093169792553,-0.19011065564491125,0.007195399625206652,0.5081882872574706,0.017714743577111027,1.2050460476880631,0.4006447831184056,1.0
alpha070,802,0.09471727653998468,0.14305011439221177,0.6621265347631311,-0.18758664450725449,0.005017533349489182,0.338736407183902,0.012553314624224305,0.838447885365723,0.630143391521197,1.0
alpha071,659,0.012534527083087289,0.1361392685501977,0.09207135616764034,-0.19271430827855096,-0.0033636399570605383,-0.23637063344152573,-0.0011942425548334197,-0.0816595697656494,0.49165402124430957,1.0
alpha072,828,-0.040493843802205935,0.1257558931994627,-0.3220035480800748,-0.19930398078655898,0.007423003537220801,0.5783729836819156,-0.0012826799841497904,-0.08977544217219004,0.2966485507246377,1.0
alpha073,864,0.09369692791404019,0.13773249961776887,0.6802819100362304,-0.22781423918898225,0.016928375233778332,1.1179365095924079,0.014076352099655506,0.9177400053299382,0.5004340277777778,1.0
alpha074,804,-0.0024042669327741023,0.12944558947842663,-0.01857357166406042,-0.23851542276174076,0.002571315836765418,0.19158551338482974,0.000987390250460602,0.07408837437728706,0.20289179104477612,1.0
alpha075,823,-0.004536193240531121,0.12240906464147944,-0.03705765789336806,-0.30784537093906483,0.0018431003456477317,0.13163152109430964,0.003283198302623163,0.23746380267950878,0.36391251518833534,1.0
alpha076,744,-0.028220204514661857,0.14012632677933543,-0.20139116726510467,-0.18528720292955148,0.003802707403947563,0.24642315628669378,0.001978448319690541,0.12587572528816574,0.2708333333333333,1.0
alpha077,838,0.12761944519711285,0.13667562470863603,0.9337396150130715,-0.13390436759803692,0.008125183302015192,0.5543661016187986,0.004495437431345285,0.3129482080402999,0.3371121718377088,1.0
alpha078,821,-0.07923903270504627,0.14231776964157744,-0.5567753970892542,-0.2686158778600043,-0.007878931968782173,-0.5603304591850861,-0.01446570164464567,-1.0418487062292472,0.3313032886723508,1.0
alpha079,713,0.048980735904051304,0.1276573300256461,0.38368917706653566,-0.18270842607405924,0.0008670011817352969,0.06379398475589695,0.009914952978128444,0.7209910792120093,0.4284712482468443,1.0
alpha080,866,-0.009201522936629108,0.13625920701632235,-0.06752955002539292,-0.22242694634960447,0.0033706974960955715,0.2536265375694563,0.00827683312867605,0.6050327530265037,0.5347863741339491,1.0
alpha081,806,-0.04634210482052539,0.12623615947654757,-0.36710642190548376,-0.28131835901515256,-0.003303938874165654,-0.23640946959948972,-0.003896253859524091,-0.2805120465356557,0.25496277915632753,1.0
alpha082,850,0.07579879681390038,0.15059813673800138,0.5033182910208849,-0.10926928984554263,0.005164039808298694,0.32267659234900475,0.008661580628439278,0.549906641750843,0.2863235294117647,1.0
alpha083,877,0.07323834597610968,0.15381225999138287,0.47615415039225595,-0.13882849361309835,0.009391665617992186,0.5483477748537177,0.011431739149750158,0.6992524847015993,0.7591220068415051,0.9992743858194257
alpha084,850,0.0375434599969236,0.15288083079337755,0.24557336457482085,-0.24746231612225744,-0.0035415980908719037,-0.24684477689220022,0.016429897227632342,1.032011486467625,0.43426470588235294,0.9999465240641712
alpha085,846,0.06288415762160679,0.13097482127573512,0.4801240193274991,-0.1687870170502771,-0.003660628641624118,-0.26962185200333283,-0.004868294415010419,-0.3536028971613372,0.346483451536643,1.0
alpha086,827,0.08306996089752818,0.13821920658448705,0.6010015753255777,-0.147880727383343,0.0013724314560861091,0.09400758584405729,0.003617975320731386,0.24685895866088253,0.4554111245465538,1.0
alpha087,775,0.02377661950264594,0.14326737807936096,0.16595975874895413,-0.22615114540109094,0.013096258566787339,0.8572483092661247,0.015220494783286477,1.0076468943418326,0.45548387096774196,1.0
alpha088,792,-0.05173268881345512,0.15540116563434211,-0.33289768839431866,-0.26206914368572864,0.0017719033632274638,0.11389144920076576,0.009506157655826115,0.6455301164405295,0.2694128787878788,1.0
alpha089,857,0.05233135631458199,0.12982889198736172,0.40307943411914987,-0.21005353737194454,0.006096440960914602,0.4498970421515109,0.011707249035233264,0.8720806440222507,0.39877479579929986,1.0
alpha090,838,0.07182418724924007,0.14369873556588214,0.4998247685784998,-0.186264336607883,0.0022564498109344778,0.14351704556661865,0.005192883794241182,0.33249252304152926,0.5818914081145584,1.0
alpha091,850,0.0024209815424816026,0.12411292837388287,0.01950628008057741,-0.2293554726262783,-0.0007774276338535277,-0.05686257738227679,-0.0039027332324050364,-0.2772951944243327,0.38426470588235295,1.0
alpha092,838,0.008539452871752598,0.13241301307834807,0.06449103961330335,-0.21537274597156086,-0.0046460402115972846,-0.31810690152515464,-0.0038701733933503295,-0.2650244557882703,0.3339797136038186,1.0
alpha093,763,0.09320667467401958,0.14260099808362905,0.6536186697610495,-0.1550362872349904,0.009137434738715623,0.6319813777422852,0.006560861574465414,0.4587903947974523,0.2060943643512451,1.0
alpha094,803,0.024741699193195167,0.1519400802326108,0.1628385292104438,-0.24718811194509793,0.007277908735861239,0.45990573646074207,0.013789741446036365,0.8839257815031452,0.3388854296388543,1.0
alpha095,805,0.04903856527171702,0.13945916182323884,0.35163387353404746,-0.20218661168362206,0.006749336307033827,0.4901754439756523,0.008122774863904903,0.5921839409241831,0.22391304347826088,1.0
alpha096,783,-0.05447520681781452,0.14005378421647544,-0.3889591925171719,-0.2642158754431586,0.0009779354445966877,0.06719054318309256,0.007162270618592724,0.4957485961257369,0.3492975734355045,1.0
alpha097,769,-0.04316903027096794,0.13619351659592416,-0.3169683208859875,-0.28770815429754104,0.0014937067675722731,0.10775908150109592,0.005153258225780521,0.37375097617998954,0.301853055916775,1.0
alpha098,831,-0.05216571292067273,0.1361838640828233,-0.3830535524307562,-0.3523815235280541,-0.005944537844215426,-0.4237971131573325,-0.008615519749971033,-0.6215741295186447,0.28835740072202165,1.0
alpha099,799,-0.0664726919070647,0.1248700025297976,-0.5323351530420798,-0.3471983560395372,-0.007014073928467342,-0.5071997730227653,-0.004480526518462256,-0.3268440156740032,0.2553191489361702,1.0
alpha100,854,0.030710519057308615,0.14026491780961917,0.21894654441670044,-0.2460632859962547,0.010097632170662986,0.6528843232431872,0.0038061194914730855,0.27660342262508825,0.6766686182669789,1.0
alpha101,883,0.06648376572075396,0.15359077570291513,0.43286301157402196,-0.1602333292444591,-0.0018539510610507902,-0.11880325803040698,-0.007071907854811986,-0.46364084224774976,0.799263873159683,1.0
